排名,作者,年份,期刊全称,被引频次,DOI,核心贡献
1,Kasneci E et al.,2023,Learning and Individual Differences,146,10.1016/j.lindif.2023.102274,系统分析了ChatGPT在高等教育中的应用潜力、风险与伦理挑战，是该领域引用量最高的奠基性文献
2,Cotton DRE et al.,2024,Innovations in Education and Teaching International,107,10.1080/14703297.2023.2190148,实证研究了生成式AI对传统教学实践和学生学习方式的颠覆性影响
3,Jurgen R,2023,Journal of Applied Learning and Teaching,104,10.37074/jalt.2023.6.1.23,提出了AIGC时代的教学模式变革框架，为教育工作者提供了可操作的实践指导
4,Dwivedi YK et al.,2023,International Journal of Information Management,100,10.1016/j.ijinfomgt.2023.102642,全面综述了生成式AI在各个领域的应用、机遇、风险与未来研究方向
5,Lo CK et al.,2023,Education Sciences,92,10.3390/educsci13040410,首次系统研究了AI素养在高等教育中的重要性、内涵与培养路径
6,Farrokhnia M et al.,2024,Innovations in Education and Teaching International,91,10.1080/14703297.2023.2195846,深入分析了生成式AI对学术诚信的挑战，并提出了多维度的应对策略
7,Baidoo-anu D,2023,Journal of AI,88,10.61969/jai.1337500,探讨了生成式AI在人文研究中的伦理问题与负责任使用原则
8,Chan CKY et al.,2023,International Journal of Educational Technology in Higher Education,86,10.1186/s41239-023-00411-8,基于技术接受模型研究了高等教育中师生对生成式AI的接受度与使用行为
9,Tlili A et al.,2023,Smart Learning Environments,86,10.1186/s40561-023-00237-x,提出了智能学习环境中生成式AI的应用模型与设计原则
10,Cooper G et al.,2023,Journal of Science Education and Technology,76,10.1007/s10956-023-10039-y,实证分析了生成式AI在科学教育中的应用效果与学生反馈
